"data_base","uf","tcb","sr","cliente","ocupacao","cnae_secao","cnae_subclasse","porte","modalidade","origem","indexador","numero_de_operacoes","a_vencer_ate_90_dias","a_vencer_de_91_ate_360_dias","a_vencer_de_361_ate_1080_dias","a_vencer_de_1081_ate_1800_dias","a_vencer_de_1801_ate_5400_dias","a_vencer_acima_de_5400_dias","vencido_acima_de_15_dias","carteira_ativa","carteira_inadimplida_arrastada","ativo_problematico"
2025-08-31,"PE","Bancário","S1","PF","PF - Aposentado/pensionista","-","-","PF - Acima de 20 salários mínimos            ","PF - Outros créditos","Sem destinação específica","Prefixado","1556","4123117,27","3761661,57","4285342,77","2500546,67","2571271,25","0,00","775923,28","18017862,81","1492965,92","5154413,48"
2025-08-31,"PE","Bancário","S1","PF","PF - Aposentado/pensionista","-","-","PF - Acima de 20 salários mínimos            ","PF - Outros créditos","Sem destinação específica","Pós-fixado","<= 15","19276,02","50842,08","102207,21","16267,57","8031,57","0,00","246280,44","442904,89","245847,00","265187,71"
2025-08-31,"PE","Bancário","S1","PF","PF - Aposentado/pensionista","-","-","PF - Acima de 20 salários mínimos            ","PF - Rural e agroindustrial","Com destinação específica","Flutuantes","<= 15","0,00","118013,80","284222,64","229490,10","112070,34","0,00","0,00","743796,88","0,00","0,00"
2025-08-31,"PE","Bancário","S1","PF","PF - Aposentado/pensionista","-","-","PF - Acima de 20 salários mínimos            ","PF - Rural e agroindustrial","Com destinação específica","Prefixado","150","8336683,36","15804996,95","6276228,97","2304961,45","2010679,92","105687,84","29516,93","34868755,42","0,00","304345,18"
2025-08-31,"PE","Bancário","S1","PF","PF - Aposentado/pensionista","-","-","PF - Acima de 20 salários mínimos            ","PF - Rural e agroindustrial","Com destinação específica","Pós-fixado","<= 15","55766,29","234284,03","580804,19","111532,58","113888,86","0,00","0,00","1096275,95","0,00","0,00"
2025-08-31,"PE","Bancário","S1","PF","PF - Aposentado/pensionista","-","-","PF - Acima de 20 salários mínimos            ","PF - Rural e agroindustrial","Com destinação específica","TCR/TRFC","<= 15","69104,19","822975,13","1283349,84","0,00","0,00","0,00","0,00","2175429,16","0,00","0,00"
2025-08-31,"PE","Bancário","S1","PF","PF - Aposentado/pensionista","-","-","PF - Acima de 20 salários mínimos            ","PF - Rural e agroindustrial","Sem destinação específica","Flutuantes","<= 15","0,00","167955,95","335911,90","167955,97","0,00","0,00","0,00","671823,82","0,00","0,00"
2025-08-31,"PE","Bancário","S1","PF","PF - Aposentado/pensionista","-","-","PF - Acima de 20 salários mínimos            ","PF - Rural e agroindustrial","Sem destinação específica","Prefixado","23","47711,35","3625335,00","1179441,19","1275288,54","2480852,19","0,00","0,00","8608628,27","0,00","0,00"
2025-08-31,"PE","Bancário","S1","PF","PF - Aposentado/pensionista","-","-","PF - Acima de 20 salários mínimos            ","PF - Rural e agroindustrial","Sem destinação específica","Pós-fixado","<= 15","0,00","1477760,06","2959404,11","187344,14","0,00","0,00","0,00","4624508,31","0,00","0,00"
2025-08-31,"PE","Bancário","S1","PF","PF - Aposentado/pensionista","-","-","PF - Acima de 20 salários mínimos            ","PF - Rural e agroindustrial","Sem destinação específica","TCR/TRFC","<= 15","0,00","237111,95","0,00","0,00","0,00","0,00","0,00","237111,95","0,00","0,00"
2025-08-31,"PE","Bancário","S1","PF","PF - Aposentado/pensionista","-","-","PF - Acima de 20 salários mínimos            ","PF - Veículos","Sem destinação específica","Prefixado","232","1604981,46","3988716,18","4755515,20","827673,95","0,00","51107,20","97845,40","11325839,39","87218,85","202360,29"
2025-08-31,"PE","Bancário","S1","PF","PF - Aposentado/pensionista","-","-","PF - Até 1 salário mínimo                    ","PF - Cartão de crédito","Sem destinação específica","Outros indexadores","<= 15","0,00","36045,31","0,00","0,00","0,00","0,00","0,00","36045,31","0,00","0,00"
2025-08-31,"PE","Bancário","S1","PF","PF - Aposentado/pensionista","-","-","PF - Até 1 salário mínimo                    ","PF - Cartão de crédito","Sem destinação específica","Prefixado","15113","8179760,29","3448968,93","911876,94","222557,17","59543,25","13889,98","1926529,82","14763126,38","1595605,74","2640545,53"
2025-08-31,"PE","Bancário","S1","PF","PF - Aposentado/pensionista","-","-","PF - Até 1 salário mínimo                    ","PF - Cartão de crédito","Sem destinação específica","Pós-fixado","87","1956,83","5344,71","11689,14","7523,85","6510,42","0,00","265115,73","298140,68","268968,91","292437,26"
2025-08-31,"PE","Bancário","S1","PF","PF - Aposentado/pensionista","-","-","PF - Até 1 salário mínimo                    ","PF - Empréstimo com consignação em folha","Sem destinação específica","Prefixado","27708","13792250,67","35903763,64","67141032,70","32070875,84","15846242,98","0,00","1182487,14","165936652,97","4317334,37","7558849,99"
2025-08-31,"PE","Bancário","S1","PF","PF - Aposentado/pensionista","-","-","PF - Até 1 salário mínimo                    ","PF - Empréstimo com consignação em folha","Sem destinação específica","Pós-fixado","177","0,00","0,00","0,00","0,00","0,00","0,00","1356733,83","1356733,83","1356733,83","1356733,83"
2025-08-31,"PE","Bancário","S1","PF","PF - Aposentado/pensionista","-","-","PF - Até 1 salário mínimo                    ","PF - Empréstimo sem consignação em folha","Sem destinação específica","Prefixado","2419","733124,68","1303992,43","1257564,50","364731,66","188179,29","15365,01","503674,98","4366632,55","1220426,79","1792691,72"
2025-08-31,"PE","Bancário","S1","PF","PF - Aposentado/pensionista","-","-","PF - Até 1 salário mínimo                    ","PF - Empréstimo sem consignação em folha","Sem destinação específica","Pós-fixado","18","2286,98","1746,84","4548,74","2712,90","3723,83","0,00","27972,50","42991,79","42058,47","42058,47"
2025-08-31,"PE","Bancário","S1","PF","PF - Aposentado/pensionista","-","-","PF - Até 1 salário mínimo                    ","PF - Habitacional","Com destinação específica","Outros indexadores","<= 15","48804,23","132713,45","292546,64","219696,62","408588,31","49140,24","0,00","1151489,49","0,00","0,00"
2025-08-31,"PE","Bancário","S1","PF","PF - Aposentado/pensionista","-","-","PF - Até 1 salário mínimo                    ","PF - Habitacional","Com destinação específica","Pós-fixado","673","1496021,31","3820498,19","8857753,84","7085044,17","18640740,22","4520580,36","133842,62","44554480,71","476893,97","2192643,57"
2025-08-31,"PE","Bancário","S1","PF","PF - Aposentado/pensionista","-","-","PF - Até 1 salário mínimo                    ","PF - Habitacional","Com destinação específica","Índices de preços","<= 15","10428,77","14535,16","30271,48","25794,45","73530,80","0,00","0,00","154560,66","0,00","0,00"
2025-08-31,"PE","Bancário","S1","PF","PF - Aposentado/pensionista","-","-","PF - Até 1 salário mínimo                    ","PF - Outros créditos","Sem destinação específica","Prefixado","3607","1746444,20","1446367,36","1552821,02","570652,74","206735,22","47401,64","690622,43","6261044,61","1305276,85","2774193,49"
2025-08-31,"PE","Bancário","S1","PF","PF - Aposentado/pensionista","-","-","PF - Até 1 salário mínimo                    ","PF - Outros créditos","Sem destinação específica","Pós-fixado","76","24145,87","58032,09","109428,78","69835,79","89838,91","0,00","167791,89","519073,33","194893,50","196673,42"
2025-08-31,"PE","Bancário","S1","PF","PF - Aposentado/pensionista","-","-","PF - Até 1 salário mínimo                    ","PF - Rural e agroindustrial","Com destinação específica","Prefixado","<= 15","0,00","169614,21","19362,90","17990,41","0,00","44174,40","0,00","251141,92","0,00","0,00"
2025-08-31,"PE","Bancário","S1","PF","PF - Aposentado/pensionista","-","-","PF - Até 1 salário mínimo                    ","PF - Rural e agroindustrial","Com destinação específica","TCR/TRFC","<= 15","0,00","0,00","21771,49","0,00","0,00","0,00","0,00","21771,49","0,00","0,00"
2025-08-31,"PE","Bancário","S1","PF","PF - Aposentado/pensionista","-","-","PF - Até 1 salário mínimo                    ","PF - Veículos","Sem destinação específica","Prefixado","371","1395039,17","3351272,93","4610969,93","787810,86","13609,06","0,00","232422,63","10391124,58","760770,51","1315036,24"
2025-08-31,"PE","Bancário","S1","PF","PF - Aposentado/pensionista","-","-","PF - Indisponível                            ","PF - Cartão de crédito","Sem destinação específica","Prefixado","17773","6261365,78","1649527,06","2361215,06","3065622,21","1757497,97","0,00","4555435,65","19650663,73","4165024,79","4822100,44"
2025-08-31,"PE","Bancário","S1","PF","PF - Aposentado/pensionista","-","-","PF - Indisponível                            ","PF - Cartão de crédito","Sem destinação específica","Pós-fixado","<= 15","0,00","0,00","0,00","0,00","0,00","0,00","6922,58","6922,58","6902,12","6922,58"
2025-08-31,"PE","Bancário","S1","PF","PF - Aposentado/pensionista","-","-","PF - Indisponível                            ","PF - Empréstimo com consignação em folha","Sem destinação específica","Outros indexadores","<= 15","491,17","1689,86","874,53","0,00","0,00","0,00","0,00","3055,56","0,00","0,00"
2025-08-31,"PE","Bancário","S1","PF","PF - Aposentado/pensionista","-","-","PF - Indisponível                            ","PF - Empréstimo com consignação em folha","Sem destinação específica","Prefixado","7226","3038721,63","7701706,37","14374377,87","6441226,02","2426548,74","0,00","2748230,87","36730811,50","10330801,92","10588433,09"
2025-08-31,"PE","Bancário","S1","PF","PF - Aposentado/pensionista","-","-","PF - Indisponível                            ","PF - Empréstimo com consignação em folha","Sem destinação específica","Pós-fixado","60","0,00","0,00","0,00","0,00","0,00","0,00","227656,03","227656,03","227656,03","227656,03"
2025-08-31,"PE","Bancário","S1","PF","PF - Aposentado/pensionista","-","-","PF - Indisponível                            ","PF - Empréstimo sem consignação em folha","Sem destinação específica","Outros indexadores","21","688,93","472,07","1116,14","390,21","132,14","0,00","0,00","2799,49","0,00","0,00"
2025-08-31,"PE","Bancário","S1","PF","PF - Aposentado/pensionista","-","-","PF - Indisponível                            ","PF - Empréstimo sem consignação em folha","Sem destinação específica","Prefixado","309","69669,81","126968,20","130982,40","13426,14","2813,85","0,00","212284,75","556145,15","348786,96","372016,52"
2025-08-31,"PE","Bancário","S1","PF","PF - Aposentado/pensionista","-","-","PF - Indisponível                            ","PF - Habitacional","Com destinação específica","Outros indexadores","<= 15","2279,77","6418,92","15080,37","12519,96","32597,11","0,00","0,00","68896,13","0,00","0,00"
2025-08-31,"PE","Bancário","S1","PF","PF - Aposentado/pensionista","-","-","PF - Indisponível                            ","PF - Habitacional","Com destinação específica","Pós-fixado","331","693441,13","1838055,47","4168167,22","3219676,16","7273459,18","1248230,62","146951,61","18587981,39","1027118,27","2327980,95"
2025-08-31,"PE","Bancário","S1","PF","PF - Aposentado/pensionista","-","-","PF - Indisponível                            ","PF - Habitacional","Com destinação específica","Índices de preços","<= 15","14395,31","39369,12","93871,96","79368,01","130980,29","23515,84","0,00","381500,53","0,00","0,00"
2025-08-31,"PE","Bancário","S1","PF","PF - Aposentado/pensionista","-","-","PF - Indisponível                            ","PF - Outros créditos","Sem destinação específica","Prefixado","1319","3568375,73","622298,99","557596,78","186168,43","11110,50","0,00","625944,38","5571494,81","602372,36","968911,81"
2025-08-31,"PE","Bancário","S1","PF","PF - Aposentado/pensionista","-","-","PF - Indisponível                            ","PF - Outros créditos","Sem destinação específica","Pós-fixado","<= 15","6674,27","17374,62","30990,60","16072,45","24698,73","0,00","5156,81","100967,48","5156,81","5156,81"
2025-08-31,"PE","Bancário","S1","PF","PF - Aposentado/pensionista","-","-","PF - Indisponível                            ","PF - Veículos","Sem destinação específica","Prefixado","226","755509,16","1879508,42","2508515,48","367394,45","3093,28","0,00","282333,07","5796353,86","548828,63","774102,26"
2025-08-31,"PE","Bancário","S1","PF","PF - Aposentado/pensionista","-","-","PF - Mais de 1 a 2 salários mínimos          ","PF - Cartão de crédito","Sem destinação específica","Outros indexadores","<= 15","158,15","11338,54","0,00","0,00","0,00","0,00","0,00","11496,69","0,00","0,00"
2025-08-31,"PE","Bancário","S1","PF","PF - Aposentado/pensionista","-","-","PF - Mais de 1 a 2 salários mínimos          ","PF - Cartão de crédito","Sem destinação específica","Prefixado","69516","51803721,83","22440387,67","2574331,70","792356,02","358371,35","36059,12","8505912,58","86511140,27","6965142,18","11086757,05"
2025-08-31,"PE","Bancário","S1","PF","PF - Aposentado/pensionista","-","-","PF - Mais de 1 a 2 salários mínimos          ","PF - Cartão de crédito","Sem destinação específica","Pós-fixado","249","6881,65","16262,99","22731,07","10346,32","16348,37","0,00","745047,94","817618,34","798553,06","801122,36"
2025-08-31,"PE","Bancário","S1","PF","PF - Aposentado/pensionista","-","-","PF - Mais de 1 a 2 salários mínimos          ","PF - Empréstimo com consignação em folha","Sem destinação específica","Outros indexadores","<= 15","4104,68","11081,74","10399,32","871,16","0,00","0,00","1480,93","27937,83","1480,93","1480,93"
2025-08-31,"PE","Bancário","S1","PF","PF - Aposentado/pensionista","-","-","PF - Mais de 1 a 2 salários mínimos          ","PF - Empréstimo com consignação em folha","Sem destinação específica","Prefixado","70747","40217282,43","105041986,18","198731303,40","98974847,66","52085563,40","5335,86","2806534,17","497862853,10","11448395,94","19329497,98"
2025-08-31,"PE","Bancário","S1","PF","PF - Aposentado/pensionista","-","-","PF - Mais de 1 a 2 salários mínimos          ","PF - Empréstimo com consignação em folha","Sem destinação específica","Pós-fixado","310","1013,95","2632,65","0,00","0,00","0,00","0,00","2344988,02","2348634,62","2348634,62","2348634,62"
2025-08-31,"PE","Bancário","S1","PF","PF - Aposentado/pensionista","-","-","PF - Mais de 1 a 2 salários mínimos          ","PF - Empréstimo sem consignação em folha","Sem destinação específica","Outros indexadores","45","561,24","2843,26","3430,20","1193,86","631,59","0,00","0,00","8660,15","0,00","0,00"
2025-08-31,"PE","Bancário","S1","PF","PF - Aposentado/pensionista","-","-","PF - Mais de 1 a 2 salários mínimos          ","PF - Empréstimo sem consignação em folha","Sem destinação específica","Prefixado","8938","3227981,65","6416755,07","6332926,76","2027585,86","877947,43","123730,07","1187079,46","20194006,30","2758827,68","4826130,70"
2025-08-31,"PE","Bancário","S1","PF","PF - Aposentado/pensionista","-","-","PF - Mais de 1 a 2 salários mínimos          ","PF - Empréstimo sem consignação em folha","Sem destinação específica","Pós-fixado","31","769,09","2205,17","2270,75","6,77","0,00","0,00","190246,67","195498,45","195498,45","195498,45"
2025-08-31,"PE","Bancário","S1","PF","PF - Aposentado/pensionista","-","-","PF - Mais de 1 a 2 salários mínimos          ","PF - Habitacional","Com destinação específica","Outros indexadores","<= 15","25299,35","64754,96","146457,07","114778,80","286921,72","37743,83","0,00","675955,73","0,00","0,00"
2025-08-31,"PE","Bancário","S1","PF","PF - Aposentado/pensionista","-","-","PF - Mais de 1 a 2 salários mínimos          ","PF - Habitacional","Com destinação específica","Pós-fixado","1154","2267678,91","6058045,64","13978624,77","11194115,39","29356203,54","7357124,50","200830,58","70412623,33","972112,95","4098142,53"
2025-08-31,"PE","Bancário","S1","PF","PF - Aposentado/pensionista","-","-","PF - Mais de 1 a 2 salários mínimos          ","PF - Habitacional","Com destinação específica","Índices de preços","<= 15","11028,36","30417,49","73104,30","62607,56","166498,31","47917,75","0,00","391573,77","0,00","0,00"
2025-08-31,"PE","Bancário","S1","PF","PF - Aposentado/pensionista","-","-","PF - Mais de 1 a 2 salários mínimos          ","PF - Outros créditos","Sem destinação específica","Flutuantes","<= 15","0,00","0,00","0,00","0,00","0,00","2881,53","0,00","2881,53","0,00","2881,53"
2025-08-31,"PE","Bancário","S1","PF","PF - Aposentado/pensionista","-","-","PF - Mais de 1 a 2 salários mínimos          ","PF - Outros créditos","Sem destinação específica","Outros indexadores","<= 15","23046,67","39477,06","85915,86","63468,56","91460,41","0,00","0,00","303368,56","0,00","131851,80"
2025-08-31,"PE","Bancário","S1","PF","PF - Aposentado/pensionista","-","-","PF - Mais de 1 a 2 salários mínimos          ","PF - Outros créditos","Sem destinação específica","Prefixado","12200","6515640,62","6619294,59","7638064,51","2928306,07","1375672,41","40228,62","2348689,34","27465896,16","5078993,27","11837639,01"
2025-08-31,"PE","Bancário","S1","PF","PF - Aposentado/pensionista","-","-","PF - Mais de 1 a 2 salários mínimos          ","PF - Outros créditos","Sem destinação específica","Pós-fixado","219","78719,47","200493,48","364923,74","152056,91","165317,06","0,00","679417,67","1640928,33","1001934,30","1009773,15"
2025-08-31,"PE","Bancário","S1","PF","PF - Aposentado/pensionista","-","-","PF - Mais de 1 a 2 salários mínimos          ","PF - Rural e agroindustrial","Com destinação específica","Prefixado","61","281726,90","574226,68","296029,60","134858,44","141914,46","19496,15","512067,73","1960319,96","268603,15","598520,80"
2025-08-31,"PE","Bancário","S1","PF","PF - Aposentado/pensionista","-","-","PF - Mais de 1 a 2 salários mínimos          ","PF - Rural e agroindustrial","Com destinação específica","Pós-fixado","<= 15","29454,32","0,00","29454,33","0,00","0,00","0,00","30044,25","88952,90","88952,90","88952,90"
2025-08-31,"PE","Bancário","S1","PF","PF - Aposentado/pensionista","-","-","PF - Mais de 1 a 2 salários mínimos          ","PF - Rural e agroindustrial","Com destinação específica","TCR/TRFC","<= 15","0,00","127517,63","0,00","0,00","0,00","0,00","0,00","127517,63","0,00","0,00"
2025-08-31,"PE","Bancário","S1","PF","PF - Aposentado/pensionista","-","-","PF - Mais de 1 a 2 salários mínimos          ","PF - Rural e agroindustrial","Sem destinação específica","Outros indexadores","<= 15","0,00","118310,99","307925,39","242781,62","619856,61","0,00","87017,56","1375892,17","375250,35","1375892,17"
2025-08-31,"PE","Bancário","S1","PF","PF - Aposentado/pensionista","-","-","PF - Mais de 1 a 2 salários mínimos          ","PF - Rural e agroindustrial","Sem destinação específica","Prefixado","<= 15","17361,55","0,00","0,00","0,00","0,00","0,00","0,00","17361,55","0,00","0,00"
2025-08-31,"PE","Bancário","S1","PF","PF - Aposentado/pensionista","-","-","PF - Mais de 1 a 2 salários mínimos          ","PF - Rural e agroindustrial","Sem destinação específica","Pós-fixado","<= 15","0,00","159143,29","159143,31","0,00","0,00","0,00","157240,19","475526,79","475526,79","475526,79"
2025-08-31,"PE","Bancário","S1","PF","PF - Aposentado/pensionista","-","-","PF - Mais de 1 a 2 salários mínimos          ","PF - Veículos","Sem destinação específica","Prefixado","1548","5501158,73","13776006,49","18841528,06","3067453,82","8101,40","0,00","1369612,38","42563860,88","3927767,78","5268897,79"
2025-08-31,"PE","Bancário","S1","PF","PF - Aposentado/pensionista","-","-","PF - Mais de 1 a 2 salários mínimos          ","PF - Veículos","Sem destinação específica","Pós-fixado","<= 15","0,00","0,00","0,00","0,00","0,00","0,00","6924,07","6924,07","6924,07","6924,07"
2025-08-31,"PE","Bancário","S1","PF","PF - Aposentado/pensionista","-","-","PF - Mais de 10 a 20 salários mínimos        ","PF - Cartão de crédito","Sem destinação específica","Outros indexadores","40","25265,65","277743,31","15629,19","0,00","0,00","0,00","2681,59","321319,74","0,00","0,00"
2025-08-31,"PE","Bancário","S1","PF","PF - Aposentado/pensionista","-","-","PF - Mais de 10 a 20 salários mínimos        ","PF - Cartão de crédito","Sem destinação específica","Prefixado","45353","168460861,54","68041008,39","3227819,29","675144,66","395860,06","141152,59","11561242,29","252503088,82","8730233,49","15380794,86"
2025-08-31,"PE","Bancário","S1","PF","PF - Aposentado/pensionista","-","-","PF - Mais de 10 a 20 salários mínimos        ","PF - Cartão de crédito","Sem destinação específica","Pós-fixado","30","4319,81","10915,65","26397,85","18198,36","24624,68","0,00","433933,38","518389,73","518346,00","518389,73"
2025-08-31,"PE","Bancário","S1","PF","PF - Aposentado/pensionista","-","-","PF - Mais de 10 a 20 salários mínimos        ","PF - Empréstimo com consignação em folha","Sem destinação específica","Outros indexadores","<= 15","1286,97","4401,82","6226,52","507,26","0,00","0,00","0,00","12422,57","0,00","0,00"
2025-08-31,"PE","Bancário","S1","PF","PF - Aposentado/pensionista","-","-","PF - Mais de 10 a 20 salários mínimos        ","PF - Empréstimo com consignação em folha","Sem destinação específica","Prefixado","12951","31874717,67","83646728,84","173798327,07","102213539,38","73958243,93","0,00","2271395,53","467762952,42","9339947,31","17929863,51"
2025-08-31,"PE","Bancário","S1","PF","PF - Aposentado/pensionista","-","-","PF - Mais de 10 a 20 salários mínimos        ","PF - Empréstimo com consignação em folha","Sem destinação específica","Pós-fixado","34","3971,44","14557,00","49063,62","49063,62","108349,37","0,00","726264,82","951269,87","951269,87","951269,87"
2025-08-31,"PE","Bancário","S1","PF","PF - Aposentado/pensionista","-","-","PF - Mais de 10 a 20 salários mínimos        ","PF - Empréstimo sem consignação em folha","Com destinação específica","Prefixado","<= 15","6737,85","17946,20","30925,76","0,00","0,00","0,00","0,00","55609,81","0,00","0,00"
2025-08-31,"PE","Bancário","S1","PF","PF - Aposentado/pensionista","-","-","PF - Mais de 10 a 20 salários mínimos        ","PF - Empréstimo sem consignação em folha","Sem destinação específica","Prefixado","6222","12114639,48","32326384,18","40366498,82","19155169,79","12972304,69","345040,30","1629288,73","118909325,99","5461438,95","9804982,13"
2025-08-31,"PE","Bancário","S1","PF","PF - Aposentado/pensionista","-","-","PF - Mais de 10 a 20 salários mínimos        ","PF - Empréstimo sem consignação em folha","Sem destinação específica","Pós-fixado","<= 15","1399,60","3794,60","9258,46","7494,64","12441,86","0,00","258281,63","292670,79","292670,79","292670,79"
2025-08-31,"PE","Bancário","S1","PF","PF - Aposentado/pensionista","-","-","PF - Mais de 10 a 20 salários mínimos        ","PF - Habitacional","Com destinação específica","Outros indexadores","<= 15","104966,52","280799,85","641699,91","500996,19","1221044,72","240320,69","0,00","2989827,88","0,00","0,00"
2025-08-31,"PE","Bancário","S1","PF","PF - Aposentado/pensionista","-","-","PF - Mais de 10 a 20 salários mínimos        ","PF - Habitacional","Com destinação específica","Prefixado","<= 15","13426,23","37575,52","82914,85","60418,96","146926,52","15484,09","0,00","356746,17","0,00","0,00"
2025-08-31,"PE","Bancário","S1","PF","PF - Aposentado/pensionista","-","-","PF - Mais de 10 a 20 salários mínimos        ","PF - Habitacional","Com destinação específica","Pós-fixado","630","3746242,51","10094664,96","22461159,51","17019328,68","37449626,08","5848738,69","207114,40","96826874,83","1517486,78","1882901,94"
2025-08-31,"PE","Bancário","S1","PF","PF - Aposentado/pensionista","-","-","PF - Mais de 10 a 20 salários mínimos        ","PF - Habitacional","Com destinação específica","Índices de preços","<= 15","111624,22","303853,91","722861,72","611760,27","1739290,08","283897,57","1518,06","3774805,83","132122,04","132122,04"
2025-08-31,"PE","Bancário","S1","PF","PF - Aposentado/pensionista","-","-","PF - Mais de 10 a 20 salários mínimos        ","PF - Outros créditos","Com destinação específica","Prefixado","<= 15","26751,68","70759,27","133146,82","52541,21","71992,69","3985,56","0,00","359177,23","0,00","0,00"
2025-08-31,"PE","Bancário","S1","PF","PF - Aposentado/pensionista","-","-","PF - Mais de 10 a 20 salários mínimos        ","PF - Outros créditos","Com destinação específica","Pós-fixado","<= 15","20632,69","57516,28","92233,91","66609,04","86968,99","3225,20","0,00","327186,11","0,00","0,00"
2025-08-31,"PE","Bancário","S1","PF","PF - Aposentado/pensionista","-","-","PF - Mais de 10 a 20 salários mínimos        ","PF - Outros créditos","Sem destinação específica","Outros indexadores","<= 15","73869,68","137016,35","300107,81","225119,43","408950,77","0,00","0,00","1145064,04","0,00","0,00"
2025-08-31,"PE","Bancário","S1","PF","PF - Aposentado/pensionista","-","-","PF - Mais de 10 a 20 salários mínimos        ","PF - Outros créditos","Sem destinação específica","Prefixado","5652","10752155,87","8662801,74","10707181,61","5842809,77","6040808,22","10871,32","2257852,75","44274481,28","5312180,85","13614739,84"
2025-08-31,"PE","Bancário","S1","PF","PF - Aposentado/pensionista","-","-","PF - Mais de 10 a 20 salários mínimos        ","PF - Outros créditos","Sem destinação específica","Pós-fixado","50","190893,03","502192,63","1006217,78","602628,12","810657,87","0,00","632765,36","3745354,79","1006985,56","1042728,12"
2025-08-31,"PE","Bancário","S1","PF","PF - Aposentado/pensionista","-","-","PF - Mais de 10 a 20 salários mínimos        ","PF - Rural e agroindustrial","Com destinação específica","Flutuantes","<= 15","0,00","105591,53","98709,75","0,00","0,00","0,00","0,00","204301,28","0,00","0,00"
2025-08-31,"PE","Bancário","S1","PF","PF - Aposentado/pensionista","-","-","PF - Mais de 10 a 20 salários mínimos        ","PF - Rural e agroindustrial","Com destinação específica","Prefixado","84","296641,26","1789895,25","1764926,27","786069,87","337549,35","14161,89","879870,96","5869114,85","255772,04","1132088,23"
2025-08-31,"PE","Bancário","S1","PF","PF - Aposentado/pensionista","-","-","PF - Mais de 10 a 20 salários mínimos        ","PF - Rural e agroindustrial","Com destinação específica","TCR/TRFC","<= 15","416847,45","206310,63","731216,10","0,00","0,00","0,00","0,00","1354374,18","0,00","0,00"
